Row Labels,Count of Current Location,,,Rank,Frequency
Chennai,29648,,,1,29648
Coimbatore,3596,,,2,3596
Trichy,2092,,,3,2092
Madurai,1460,,,4,1460
Salem,1361,,,5,1361
Vellore,1010,,,6,1010
Erode,791,,,7,791
Tirunalveli,731,,,8,731
Hosur,714,,,9,714
Cuddalore,619,,,10,619
Thanjavur,552,,,11,552
Nagercoil,500,,,12,500
Tuticorin,471,,,13,471
villupuram,141,,,14,141
KARUR,108,,,15,108
Namakkal,93,,,16,93
Ooty,87,,,17,87
dindigul,84,,,18,84
pudukkottai,68,,,19,68
DHARMAPURI,63,,,20,63
Nagapattinam,60,,,21,60
theni,59,,,22,59
kanchipuram,57,,,23,57
Ramanathapuram,51,,,24,51
virudhunagar,47,,,25,47
Rajapalayam,44,,,26,44
krishnagiri,43,,,27,43
tirupur,42,,,28,42
karaikudi,41,,,29,41
THIRUVANNAMALAI,41,,,30,41
Neyveli,37,,,31,37
Tiruvannamalai,32,,,32,32
sivakasi,32,,,33,32
Mayiladuthurai,30,,,34,30
THIRUVARUR,26,,,35,26
PERAMBALUR,23,,,36,23
tiruppur,22,,,37,22
Ariyalur,22,,,38,22
kumbakonam,21,,,39,21
Pondicherry,21,,,40,21
sivagangai,18,,,41,18
KANCHEEPURAM,18,,,42,18
Chidambaram,13,,,43,13
Tindivanam,12,,,44,12
Sattur,12,,,45,12
kovilpatti,11,,,46,11
arakkonam,11,,,47,11
palani,11,,,48,11
Tiruvarur,10,,,49,10
Thiruvallur,10,,,50,10
Bangalore,9,,,51,9
Udumalpet,9,,,52,9
paramakudi,9,,,53,9
tirunelveli,8,,,54,8
srivilliputtur,8,,,55,8
Kallakurichi,8,,,56,8
Arni,8,,,57,8
aruppukottai,8,,,58,8
Ramnad,8,,,59,8
nagappattinam,7,,,60,7
TIRUCHENGODE,7,,,61,7
Jayankondam,7,,,62,7
Rasipuram,7,,,63,7
Kalpakkam,6,,,64,6
puducherry,6,,,65,6
panruti,6,,,66,6
sivaganga,6,,,67,6
CHEYYAR,6,,,68,6
karaikal,5,,,69,5
pudukottai,5,,,70,5
Tiruvallur,5,,,71,5
sirkali,5,,,72,5
pollachi,5,,,73,5
Ranipet,5,,,74,5
Vandavasi,4,,,75,4
tiruttani,4,,,76,4
DINDUGUL,4,,,77,4
sirkazhi,4,,,78,4
arani,4,,,79,4
marthandam,4,,,80,4
Harur,4,,,81,4
Vridhachalam,3,,,82,3
bodinayakanur,3,,,83,3
Tirupattur,3,,,84,3
METTUR,3,,,85,3
RAMANATHA PURAM,3,,,86,3
sriperumbudur,3,,,87,3
manamadurai,3,,,88,3
polur,3,,,89,3
Aranthangi,3,,,90,3
Gingee,3,,,91,3
AMBUR,3,,,92,3
thiruvanamalai,3,,,93,3
Kanyakumari,3,,,94,3
cumbum,3,,,95,3
KODAIKANAL,3,,,96,3
gummidipoondi,3,,,97,3
Nagappatinam,3,,,98,3
Virudunagar,3,,,99,3
Batlagundu,2,,,100,2
vadalur,2,,,101,2
Thiruthuraipoondi,2,,,102,2
arcot,2,,,103,2
CHENGALPATTU,2,,,104,2
Kattumannar koil,2,,,105,2
Thiruppathur,2,,,106,2
Kattumannarkoil,2,,,107,2
UDUMALAIPET,2,,,108,2
KK DIST,2,,,109,2
VAITHEESWARANKOVIL,2,,,110,2
mannargudi,2,,,111,2
chengalpet,2,,,112,2
