"n_distributor_id","dist_name","item_code","item_name","category_abc","category_fms","volume","pack","last_sale_date","last_purchase_date","last_stock_adjustment_date","last_sale_return_date","last_customer_breakage_expiry_date","last_godown_breakage_expiry_date","sale_amt","purchase_amt","stock_adjustment_amt","sale_return_amt","customer_breakage_expiry_amt","godown_breakage_expiry_amt","sale_qty","purchase_qty","stock_adjustment_qty","sale_return_qty","customer_breakage_expiry_qty","godown_breakage_expiry_qty","line_cut_customer_count","line_cut_challan_count","line_cut_no_of_days","line_cut_total_qty"
2,Simba,125,NIKOS 10MG 30TAB,C,S,178.7,BOTTLE,2023-04-17,2023-04-07,,2023-04-04,,,8025.38,7148.40,,381.28,,,23.000,20.000,,1.000,,,1,1,1,2.0
2,Simba,245,DIPTOGOLD 10TAB,A,F,71.7,STRIP,2023-04-20,2023-04-19,2023-04-13,2023-04-18,,,110101.50,156335.97,-151.93,4350.24,,,692.000,1050.000,7.000,27.000,,4.000,8,8,6,7.0
2,Simba,282,INMECIN 25MG 10CAP,A,F,21.6,STRIP,2023-04-20,2023-04-06,,2023-04-20,2023-03-29,2023-03-29,51294.42,67500.00,,1463.06,111.80,111.80,1927.000,2875.000,,54.000,5.000,4.000,9,9,6,27.0
2,Simba,384,OLEPTAL OD 450MG 10TAB,D,S,23.2,STRIP,2023-04-18,,2023-04-09,,,,2407.01,,0.00,,,,15.000,,6.000,,,,,,,
2,Simba,405,LEMAK M 10TAB,D,S,31.4,STRIP,2023-03-21,,,2023-04-19,,,203.55,,,67.85,,,3.000,,,1.000,,,,,,
2,Simba,722,OAKNETS HAIR GROWTH 90ML SOLUTION,D,S,569.7,BOTTLE,2023-04-16,,,,,,8046.52,,,,,,16.000,,,,,,,,,
2,Simba,1269,PENTOWOK 10TAB PANTOPRAZOLE(40MG),D,S,17.9,STRIP,2023-04-18,,,,,,511.20,,,,,,48.000,,,,,,,,,
2,Simba,1660,WAMA  LIQUID,D,S,695.0,BOTTLE,,,,,,,,,,,,,,,,,,4.000,,,,
2,Simba,1661,WAMA 20CAP,D,M,87.3,STRIP,2023-04-17,2023-04-17,,,,,4738.68,8007.84,,,,,42.000,80.000,,,,,,,,
2,Simba,3007,NEERI KFT SYP SF 200ML,B,M,528.1,BOTTLE,2023-04-19,,2023-04-19,2023-04-14,,,33697.03,,0.00,6866.12,,,86.000,,6.000,18.000,,,1,1,1,1.0
2,Simba,3186,PREGALIN SR 75 10TAB,C,M,10.1,STRIP,2023-04-20,2023-04-19,2023-04-19,2023-03-28,,,18837.36,17902.50,0.00,127.31,,,149.000,150.000,6.000,1.000,,1.000,5,5,5,6.0
2,Simba,3208,SHELCAL 500 15TAB,A,F,41.3,STRIP,2023-04-20,2023-04-19,2023-04-20,2023-04-20,,,1053553.78,1029802.00,-5149.01,38722.50,,,12296.000,12200.000,741.000,445.000,,1.000,104,113,18,427.0
2,Simba,3230,TIDOMET FORTE (DE) 10TAB,D,S,20.0,STRIP,2023-04-19,2023-04-13,,2023-04-19,,,658.54,850.80,,89.80,,,22.000,30.000,,3.000,,,,,,
2,Simba,3396,BECOSULES  CAP,A,F,153.8,STRIP,2023-04-20,2023-03-22,2023-04-19,2023-04-20,,,294911.31,210411.60,724.61,9279.81,,,8867.000,6600.000,1597.000,283.000,,49.000,13,13,10,-5950.0
2,Simba,3944,LACOSET 200,C,M,19.3,STRIP,2023-04-20,2023-04-14,2023-03-22,,,,46550.48,90691.22,0.00,,,,256.000,513.000,6.000,,,,2,2,2,4.0
2,Simba,5097,BUDECORT 200 R/C 30CAP,C,F,90.9,BOX,2023-04-20,2023-04-12,2023-03-24,,,,5023.81,5546.40,-69.33,,,,69.000,80.000,1.000,,,,3,3,2,3.0
2,Simba,5595,CILIDIN TRIO 10TAB,D,S,36.1,STRIP,,,2023-04-15,,,,,,112.63,,,,,,1.000,,,1.000,,,,
2,Simba,6350,CRITIPRO- DM- POWDER,D,S,749.3,TIN,2023-04-10,,,,,,369.83,,,,,,1.000,,,,,,,,,
2,Simba,6596,SUDIN COLD 10TAB,D,M,51.7,STRIP,2023-04-17,,,2023-04-20,,,849.60,,,33.24,,,26.000,,,1.000,,,,,,
2,Simba,6842,AMLOSAFE TM 40MG TAB,C,F,43.1,STRIP,2023-04-20,2023-04-19,2023-03-29,2023-03-23,,,11964.92,14791.39,0.00,51.58,,,213.000,280.000,54.000,1.000,,,1,1,1,0.0
2,Simba,7966,MELALITE 15 30GM CREAM,C,F,100.5,TUBE,2023-04-20,2023-04-17,2023-03-21,2023-04-17,,,7945.77,6611.40,0.00,232.62,,,68.000,60.000,2.000,2.000,,,1,1,1,1.0
2,Simba,7975,QUTAN 200MG 10TAB,D,S,26.9,STRIP,2023-04-20,2023-03-31,2023-04-19,,,,2653.48,2507.20,626.80,,,,20.000,20.000,5.000,,,,,,,
2,Simba,8445,LEVOGASTROL OD 10TAB,D,S,67.0,STRIP,,,,2023-04-01,,,,,,146.37,,,,,,1.000,,,,,,
2,Simba,8985,CEPHADEX 500 10CAP CEFALEXIN(500MG),D,S,2526.888,STRIP,2023-04-20,,2023-04-18,,,,843.30,,0.00,,,,18.000,,6.000,,,1.000,,,,
2,Simba,9136,NODARD PLUS GOLD PVC 10TAB (NON RETURNABLE),C,F,67.0,STRIP,2023-04-20,2023-03-24,2023-04-19,,,,7545.35,15907.20,0.00,,,,700.000,1600.000,328.000,,,2.000,5,5,4,6.0
2,Simba,9437,ALKOF DX 100ML SYRUP (NON RETURNABLE),C,F,210.6,BOTTLE,2023-04-20,2023-03-21,,,,,8458.70,15811.20,,,,,337.000,720.000,,,,,1,1,1,1.0
2,Simba,9758,METOLAR XR 25 CAP,C,F,20.7,STRIP,2023-04-20,2023-04-19,2023-04-13,2023-04-08,,,15687.81,3909.87,-78.54,242.61,,,330.000,90.000,12.000,5.000,,1.000,,,,
2,Simba,10000,AVARTA CREAM,C,S,323.6,BOTTLE,2023-03-25,2023-04-02,2023-04-01,,,,1083.32,2052.62,1865.90,,,,1.000,2.000,2.000,,,2.000,,,,
2,Simba,11080,TROFAME XR,D,S,78.4,STRIP,2023-04-19,,,2023-03-30,,,8793.56,,,1337.12,,,41.000,,,6.000,,,,,,
2,Simba,11144,LEVIPIL 500MG 10TAB,C,M,28.2,STRIP,2023-04-08,,2023-04-15,2023-04-17,,,218.35,,-38.81,613.24,,,2.000,,2.000,6.000,,2.000,1,1,1,1.0
2,Simba,11391,SEPTAMIN FORTE INJ 2ML,D,S,225.12472,AMPOULE,2023-04-20,2023-03-22,,,,,3421.53,6904.20,,,,,28.000,60.000,,,,,2,2,2,0.0
2,Simba,11461,PEPTARD 20 15TAB,C,M,38.0,STRIP,2023-04-20,,,,,,3158.06,,,,,,27.000,,,,,,,,,
2,Simba,11507,TEMSAN AM 15TAB,C,F,49.4,STRIP,2023-04-20,2023-03-22,2023-03-31,2023-04-07,2023-03-24,2023-03-24,72143.54,4611.30,0.00,1404.72,1857.66,1857.66,475.000,30.000,2.000,9.000,14.000,,2,2,2,-7.0
2,Simba,11916,DURATAZ INJ. 4.5GM,D,S,252.0,DRY VIAL,2023-04-14,,2023-03-23,2023-04-08,,,3770.59,,0.00,833.48,,,38.000,,10.000,9.000,,,2,2,2,9.0
2,Simba,12039,ALTORAN 40MG 10TAB,D,M,22.7,STRIP,2023-04-19,2023-03-31,,,,,6255.64,8608.80,,,,,84.000,120.000,,,,,,,,
2,Simba,13693,PACROMA 30GM CREAM,C,S,103.1,TUBE,2023-04-20,2023-04-02,2023-04-17,,,,10719.78,8440.70,-844.07,,,,12.000,10.000,5.000,,,,1,1,1,1.0
2,Simba,14134,TRIOLITE CREAM 15GM,D,S,79.1,TUBE,,,2023-04-05,,,,,,-630.00,,,,,,7.000,,,,3,3,3,3.0
2,Simba,15112,KERAGLO MEN 30TAB,B,F,151.3,BOTTLE,2023-04-20,2023-04-03,2023-04-17,2023-04-17,,,26575.41,25810.20,-860.34,2924.62,,,59.000,60.000,4.000,7.000,,,3,3,3,3.0
2,Simba,15442,ERITEL LN 40MG 15TAB,A,F,27.4,STRIP,2023-04-20,2023-03-30,2023-04-07,2023-04-08,,,103143.78,97830.00,0.00,553.67,,,748.000,750.000,148.000,4.000,,,5,5,5,0.0
2,Simba,16475,MAXMOIST ULTRA EYE DROP 10 ML,B,F,69.4,BOTTLE,2023-04-20,2023-04-14,2023-04-13,2023-04-12,,,20990.06,25226.10,0.00,837.36,,,71.000,90.000,4.000,3.000,,,1,2,1,1.0
2,Simba,16908,AZULIX 4MF FORTE 10TAB,D,S,45.3,STRIP,2023-04-20,2023-04-12,2023-04-02,,,,4336.58,4411.20,0.00,,,,38.000,40.000,6.000,,,,1,1,1,0.0
2,Simba,17019,OLYCORT 6MG 10TAB,D,S,11.5,STRIP,,,2023-04-19,,,,,,57.85,,,,,,1.000,,,1.000,,,,
2,Simba,17143,SHARKOFERROL 200GMS,D,M,367.1,BOTTLE,2023-04-20,2023-03-31,2023-03-28,,,,3648.06,3811.80,0.00,,,,27.000,30.000,4.000,,,,,,,
2,Simba,17339,GEMCAL PLUS 10CAP,D,N,,,,,2023-03-28,,2023-03-29,2023-03-29,,,-482.10,,160.71,160.71,,,3.000,,1.000,,,,,
2,Simba,17526,GESTACAL TAB,D,S,257.2,STRIP,2023-04-05,2023-04-11,,,,,455.21,758.95,,,,,5.000,10.000,,,,,,,,
2,Simba,17848,ATORSAVE F 10TAB,C,M,52.0,STRIP,2023-04-20,2023-04-14,2023-03-27,2023-04-01,,,15161.08,15030.00,-125.25,133.60,,,114.000,120.000,1.000,1.000,,,3,3,3,6.0
2,Simba,18373,GUDUCHI 60TAB,D,M,166.0,BOTTLE,2023-04-17,2023-04-10,2023-04-04,,,,3002.96,6468.00,-862.40,,,,26.000,60.000,8.000,,,,5,5,4,6.0
2,Simba,18465,VERBET 16MG 10TAB,B,F,22.4,STRIP,2023-04-20,2023-04-20,2023-04-19,2023-04-18,,,59721.55,84413.50,0.00,1153.04,,,579.000,850.000,126.000,11.000,,,3,3,3,21.0
2,Simba,18505,REJUNURON 30CAP,C,M,203.6,STRIP,2023-04-19,,2023-04-07,2023-04-11,,,4806.13,,-922.28,274.28,,,19.000,,4.000,1.000,,,2,2,2,1.0
2,Simba,18618,MEGO XL CAPSULE 10 NOS,D,S,73.3,STRIP,2023-04-14,,2023-04-14,,,,1476.00,,0.00,,,,21.000,,2.000,,,1.000,1,1,1,1.0
2,Simba,18739,NEFROSAVE KETO 10TAB,C,S,59.9,STRIP,2023-04-20,,,,,,21093.68,,,,,,143.000,,,,,,,,,
2,Simba,19148,ROSUBEST F 10TAB,D,S,85.9,STRIP,2023-04-07,,,,,,582.40,,,,,,14.000,,,,,,,,,
2,Simba,19176,MEXT 15MG 10TAB,D,S,8.0,STRIP,2023-04-15,,2023-04-20,,,,756.36,,-1014.84,,,,3.000,,8.000,,,,,,,
2,Simba,19854,NEOGADINE ELIXIR 450ML,D,M,948.7080000000001,BOTTLE,2023-04-20,2023-03-31,2023-04-20,2023-04-11,,,4490.85,3821.85,0.00,431.35,,,21.000,20.000,12.000,2.000,,,1,1,1,0.0
2,Simba,20301,ZITCARE S GEL 20GM,C,F,97.8,TUBE,2023-04-15,2023-03-28,2023-04-15,2023-04-07,,,26885.39,20730.67,0.00,544.31,,,184.000,180.000,28.000,4.000,,,3,3,2,2.0
2,Simba,20490,ZYTANIX 5 10TAB,C,M,10.9,STRIP,2023-04-17,,2023-04-20,2023-04-12,,,199.67,,1616.44,201.77,,,1.000,,9.000,1.000,,9.000,,,,
2,Simba,20509,DYNAPAR GEL 30GM,B,F,113.9,TUBE,2023-04-20,2023-04-15,2023-04-16,2023-04-19,,,35004.95,44550.00,330.00,1494.10,,,380.000,540.000,100.000,17.000,,1.000,11,11,7,15.0
2,Simba,20513,DYNAPAR AQ 1ML,A,F,58.4,AMPOULE,2023-04-20,2023-04-15,2023-04-20,2023-04-18,,,115774.48,150428.19,0.00,8841.42,,,1171.000,1560.000,1180.000,90.000,,15.000,15,16,11,33.0
2,Simba,21524,TRIOBLOC 25GM CREAM,D,S,96.7,TUBE,2023-04-20,2023-04-05,2023-04-14,2023-04-06,,,6226.81,2318.60,0.00,244.75,,,26.000,10.000,6.000,1.000,,,,,,
2,Simba,21749,DURALUB EG GEL,D,S,76.5,TUBE,,2023-04-13,,,,,,1022.00,,,,,,10.000,,,,,,,,
