time_slot,n_distributor_id,dist_name,scan_date,challan_count,total_line_items,item_value,quantity,scan_data,hour,active_hour,previous_day_pending_quantum,actual_quantum,left_quantum,current_quantum,pending_quantum,total_quantum,manpower
2022-04-01 01:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 02:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 03:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 04:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 05:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 06:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 07:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 08:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 09:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 10:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 11:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,0.0,0.0,0.0,0.0,0,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 12:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,6.0,53.0,10187.48,108.0,2022-04-01,12,1,0,6.0,0.0,0.0,0.0,0.0,0.0
2022-04-01 13:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,14.0,88.0,32906.88,379.0,2022-04-01,13,1,0,14.0,0.0,6.0,0.0,6.0,0.0
2022-04-01 14:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,45.0,249.0,60594.22,855.0,2022-04-01,14,1,0,45.0,0.0,14.0,0.0,14.0,0.0
2022-04-01 15:00:00,36834.0,AK Pharma - Belgaum,2022-04-01,36.0,221.0,68030.72,861.0,2022-04-01,15,1,0,36.0,0.0,45.0,0.0,45.0,1.0
