dtime,asset_id,asset_name,trip_count
19-10-2022,473,7 Star,30
20-10-2022,473,7 Star,28
21-10-2022,473,7 Star,20
22-10-2022,473,7 Star,25
23-10-2022,473,7 Star,10
24-10-2022,473,7 Star,9
25-10-2022,473,7 Star,20
26-10-2022,473,7 Star,8
27-10-2022,473,7 Star,25
28-10-2022,473,7 Star,23
29-10-2022,473,7 Star,23
30-10-2022,473,7 Star,6
31-10-2022,473,7 Star,24
01-11-2022,473,7 Star,24
02-11-2022,473,7 Star,25
03-11-2022,473,7 Star,27
04-11-2022,473,7 Star,26
05-11-2022,473,7 Star,30
06-11-2022,473,7 Star,10
07-11-2022,473,7 Star,32
08-11-2022,473,7 Star,28
09-11-2022,473,7 Star,32
10-11-2022,473,7 Star,35
11-11-2022,473,7 Star,32
12-11-2022,473,7 Star,34
13-11-2022,473,7 Star,1
14-11-2022,473,7 Star,32
15-11-2022,473,7 Star,30
16-11-2022,473,7 Star,32
17-11-2022,473,7 Star,31
18-11-2022,473,7 Star,27
19-11-2022,473,7 Star,26
20-11-2022,473,7 Star,8
21-11-2022,473,7 Star,31
22-11-2022,473,7 Star,31
23-11-2022,473,7 Star,32
24-11-2022,473,7 Star,30
25-11-2022,473,7 Star,35
26-11-2022,473,7 Star,17
27-11-2022,473,7 Star,11
28-11-2022,473,7 Star,28
29-11-2022,473,7 Star,3
30-11-2022,473,7 Star,28
01-12-2022,473,7 Star,29
02-12-2022,473,7 Star,28
03-12-2022,473,7 Star,8
04-12-2022,473,7 Star,2
05-12-2022,473,7 Star,8
06-12-2022,473,7 Star,24
07-12-2022,473,7 Star,25
08-12-2022,473,7 Star,25
09-12-2022,473,7 Star,27
10-12-2022,473,7 Star,21
11-12-2022,473,7 Star,1
12-12-2022,473,7 Star,25
13-12-2022,473,7 Star,30
14-12-2022,473,7 Star,21
15-12-2022,473,7 Star,24
16-12-2022,473,7 Star,27
17-12-2022,473,7 Star,27
18-12-2022,473,7 Star,10
19-12-2022,473,7 Star,26
20-12-2022,473,7 Star,30
21-12-2022,473,7 Star,26
22-12-2022,473,7 Star,28
23-12-2022,473,7 Star,28
24-12-2022,473,7 Star,26
25-12-2022,473,7 Star,13
26-12-2022,473,7 Star,28
27-12-2022,473,7 Star,27
28-12-2022,473,7 Star,32
29-12-2022,473,7 Star,30
30-12-2022,473,7 Star,30
31-12-2022,473,7 Star,29
01-01-2023,473,7 Star,2
02-01-2023,473,7 Star,31
03-01-2023,473,7 Star,33
04-01-2023,473,7 Star,33
05-01-2023,473,7 Star,33
06-01-2023,473,7 Star,31
07-01-2023,473,7 Star,27
08-01-2023,473,7 Star,2
09-01-2023,473,7 Star,1
10-01-2023,473,7 Star,21
11-01-2023,473,7 Star,29
12-01-2023,473,7 Star,33
13-01-2023,473,7 Star,32
14-01-2023,473,7 Star,34
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
