"n_distributor_id","name","vdt","vno","items"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106194,"18266_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106195,"3820_,17990_,22021_,41864_,5292_,8192_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106196,"14280_,36792_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106197,"11556_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106198,"40747_,3786_,2622_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106199,"19761_,5334_,12493_,32057_,12490_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106200,"21036_,35926_,20516_,15986_,2367_,2627_,38639_,13500_,17341_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106201,"35926_,17565_,3429_,5246_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106202,"11627_,27409_,21527_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106203,"4092_,4084_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106204,"4765_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106205,"16508_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106206,"18597_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106207,"37604_,30631_,2236_,7618_,24131_,30644_,29749_,26127_,23768_,9827_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106208,"39958_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106209,"25733_,9161_,9158_,30398_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106210,"12230_,36068_,32323_,34832_,18728_,41083_,9917_,26189_,28374_,2628_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106211,"29287_,37647_,7976_,21452_,27011_,34336_,1424_,34320_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106212,"34516_,32557_,32771_,20358_,15794_,4041_,6094_,31354_,33209_,10203_,37527_,10100_,10078_,11383_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106213,"4796_,33996_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106214,"31712_,38248_,28392_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106215,"37805_,39991_,36883_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106216,"3178_,23274_,10354_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106217,"2439_,8796_,28392_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106218,"38769_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106219,"6073_,40470_,3694_,14205_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106220,"26468_,33117_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106221,"12493_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106222,"41970_,32079_,12365_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106223,"35743_,2425_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106224,"1994_,495_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106225,"40532_,43054_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106226,"35743_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106227,"5451_,3693_,33987_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106228,"12283_,24260_,42107_,34119_,41085_,5883_,33209_,2439_,5246_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106229,"24689_,8217_,40602_,15522_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106230,"15196_,18728_,40462_,29742_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106231,"3931_,37976_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106232,"3789_,15977_,40660_,1994_,33183_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106233,"9159_,19677_,3558_,24894_,8798_,40846_,38717_,3345_,38427_,29122_,5246_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106234,"21734_,5370_,2626_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106235,"13177_,6073_,3178_,34577_,191_,40749_,13023_,12626_,11555_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106236,"31750_,21337_,9917_,36361_,10665_,28374_,22250_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106237,"26673_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106238,"5451_,4276_,5452_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106239,"8676_,14354_,40633_,41344_,16661_,3079_,2425_,10045_,35586_,574_,31574_,13684_,33203_,40922_,37808_,180_,40701_,32727_,20546_,21319_,2625_,79_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106240,"21946_,3812_,28544_,14267_,496_,27579_,39980_,12669_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106241,"33940_,37301_,30236_,21336_,23718_,26491_,40685_,33895_,38139_,38557_,38516_,32057_,16860_,34753_,6769_,43234_,23519_,31224_,13500_,34750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106242,"21336_,36109_,6329_,40666_,36659_,42839_,35954_,36361_,33820_,1423_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106243,"32595_,11442_,24922_,38499_,40921_,6768_,22202_,33166_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106244,"15103_,15077_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106245,"40799_,883_,36348_,42192_,32079_,1994_,13477_,35417_,39342_,29029_,8529_,13199_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106246,"17344_,17343_,35935_,4700_,37629_,28769_,28371_,19958_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106247,"36292_,4766_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106248,"28825_,28375_,28133_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106249,"9593_,4880_,28371_,26258_,8606_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106250,"23085_,13013_,35922_,2623_,37527_,2628_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106251,"40627_,4707_,4722_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106252,"31029_,36618_,28875_,42838_,21101_,41962_,25920_,3909_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106253,"18728_,14447_,10526_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106254,"38713_,31720_,36620_,12281_,37645_,40462_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106255,"28050_,41786_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106256,"28604_,37121_,37687_,17932_,16973_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106257,"4691_,42824_,35906_,38473_,28393_,31354_,26187_,674_,6849_,15766_,10509_,14352_,37299_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106258,"36690_,22021_,3208_,1982_,5372_,3958_,3750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106259,"21049_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106260,"23869_,5452_,11806_,4929_,5237_,3694_,30621_,40492_,34750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106261,"30831_,37057_,36169_,8783_,16368_,40899_,11775_,22434_,9437_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106262,"16473_,41153_,36292_,36670_,14436_,22719_,14298_,3699_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106263,"41017_,30486_,40492_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106264,"14217_,6072_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106265,"32079_,25750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106266,"4856_,3396_,41614_,1002_,14333_,22040_,39283_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106267,"37117_,23908_,5452_,26491_,33889_,20571_,34506_,40708_,5842_,3165_,18597_,13953_,40802_,4774_,2926_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106268,"21063_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106269,"10516_,10085_,30727_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106270,"18990_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106271,"41074_,33117_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106272,"32113_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106273,"36956_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106274,"4686_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106275,"4686_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106276,"30639_,14331_,38033_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106277,"42103_,40645_,31120_,4038_,36361_,41368_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106278,"15131_,40662_,21721_,25942_,13132_,35413_,2660_,2626_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106279,"14209_,21682_,1424_,41703_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106280,"5838_,3558_,39228_,21268_,31923_,26189_,26187_,11164_,37593_,32428_,33167_,28172_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106281,"11035_,5372_,21319_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106282,"27337_,20358_,36709_,40612_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106283,"21337_,18578_,3259_,25911_,18162_,10023_,22822_,21004_,27410_,12386_,20509_,882_,28529_,28482_,10297_,10543_,12626_,10048_,7700_,4975_,5112_,28392_"
